TWTR,date,closing,avg
FB,Thu Apr 09 00:00:00 CEST 2015,82.169998,296.171440836
GOOG,MSFT,Thu Apr 09 00:00:00 CEST 2015,Thu Mar 10 00:00:00 CET 201682.169998,,52.04999991.4120578189301,
343.29876026484936
TWTR,Thu Apr 09 00:00:00 CEST 2015,82.169998,68.58677396774193
AAPL,Thu Mar 10 00:00:00 CET 2016,52.049999,343.29876026484936
AMZN,Thu Mar 10 00:00:00 CET 2016,52.049999,247.0385586785712
FB,Thu Mar 10 00:00:00 CET 2016,52.049999,295.68417248902193
MSFT,Thu Mar 10 00:00:00 CET 2016,52.049999,91.25073790573776
GOOG,Wed Apr 08 00:00:00 CEST 2015,82.279999,343.04485096400805
AAPL,Wed Apr 08 00:00:00 CEST 2015,82.279999,343.04485096400805
AMZN,Wed Apr 08 00:00:00 CEST 2015,82.279999,246.82091196829566
FB,Wed Apr 08 00:00:00 CEST 2015,82.279999,295.25906457370513
MSFT,Wed Apr 08 00:00:00 CEST 2015,82.279999,91.21412264489801
TWTR,Thu Mar 10 00:00:00 CET 2016,52.049999,68.06999975
GOOG,Wed Mar 09 00:00:00 CET 2016,52.84,342.7628248697768
AAPL,Wed Mar 09 00:00:00 CET 2016,52.84,342.7628248697768
AMZN,Wed Mar 09 00:00:00 CET 2016,52.84,246.5650004749338
FB,Wed Mar 09 00:00:00 CET 2016,52.84,294.7771181232604
MSFT,Wed Mar 09 00:00:00 CET 2016,52.84,91.05813027642282
TWTR,Wed Apr 08 00:00:00 CEST 2015,82.279999,68.50060578787878
GOOG,Tue Apr 07 00:00:00 CEST 2015,82.32,342.50996775825274
AAPL,Tue Apr 07 00:00:00 CEST 2015,82.32,342.50996775825274
AMZN,Tue Apr 07 00:00:00 CEST 2015,82.32,246.348603899868
FB,Tue Apr 07 00:00:00 CEST 2015,82.32,294.35557622222217
MSFT,Tue Apr 07 00:00:00 CEST 2015,82.32,91.02275323076928
TWTR,Wed Mar 09 00:00:00 CET 2016,52.84,68.03999973529412
TWTR,Tue Apr 07 00:00:00 CEST 2015,82.32,68.44799974285714
GOOG,Tue Mar 08 00:00:00 CET 2016,51.650002,342.22785333947655
AAPL,Tue Mar 08 00:00:00 CET 2016,51.650002,342.22785333947655
AMZN,Tue Mar 08 00:00:00 CET 2016,51.650002,246.09242152894714
FB,Tue Mar 08 00:00:00 CET 2016,51.650002,293.87497112475245
MSFT,Tue Mar 08 00:00:00 CET 2016,51.650002,90.86399213709682
TWTR,Tue Mar 08 00:00:00 CET 2016,51.650002,67.98138869444443
GOOG,Mon Apr 06 00:00:00 CEST 2015,82.440002,341.97612092538793
AAPL,Mon Apr 06 00:00:00 CEST 2015,82.440002,341.97612092538793
AMZN,Mon Apr 06 00:00:00 CEST 2015,82.440002,245.8773723574242
FB,Mon Apr 06 00:00:00 CEST 2015,82.440002,293.45711545454543
MSFT,Mon Apr 06 00:00:00 CEST 2015,82.440002,90.83016085140567
TWTR,Mon Apr 06 00:00:00 CEST 2015,82.440002,68.37216202702702
GOOG,Mon Mar 07 00:00:00 CET 2016,51.029999,341.6944693068735
AAPL,Mon Mar 07 00:00:00 CET 2016,51.029999,341.6944693068735
AMZN,Mon Mar 07 00:00:00 CET 2016,51.029999,245.6216671430444
FB,Mon Mar 07 00:00:00 CET 2016,51.029999,292.9789554615384
MSFT,Mon Mar 07 00:00:00 CET 2016,51.029999,90.67096020400002
TWTR,Mon Mar 07 00:00:00 CET 2016,51.029999,67.91578931578947
GOOG,Fri Mar 04 00:00:00 CET 2016,52.029999,341.414329587041
AAPL,Fri Mar 04 00:00:00 CET 2016,52.029999,341.414329587041
AMZN,Fri Mar 04 00:00:00 CET 2016,52.029999,245.3679428073392
FB,Fri Mar 04 00:00:00 CET 2016,52.029999,292.5046464921259
MSFT,Fri Mar 04 00:00:00 CET 2016,52.029999,90.51701215139445
TWTR,Fri Mar 04 00:00:00 CET 2016,52.029999,67.50846135897434
GOOG,Thu Mar 03 00:00:00 CET 2016,52.349998,341.1350403777781
AAPL,Thu Mar 03 00:00:00 CET 2016,52.349998,341.1350403777781
AMZN,Thu Mar 03 00:00:00 CET 2016,52.349998,245.11530151832434
FB,Thu Mar 03 00:00:00 CET 2016,52.349998,292.03282989390954
MSFT,Thu Mar 03 00:00:00 CET 2016,52.349998,90.36555574603177
TWTR,Thu Mar 03 00:00:00 CET 2016,52.349998,67.12949977499999
GOOG,Wed Mar 02 00:00:00 CET 2016,52.950001,340.8568694903479
AAPL,Wed Mar 02 00:00:00 CET 2016,52.950001,340.8568694903479
AMZN,Wed Mar 02 00:00:00 CET 2016,52.950001,244.86410504705856
FB,Wed Mar 02 00:00:00 CET 2016,52.950001,291.56404003333324
MSFT,Wed Mar 02 00:00:00 CET 2016,52.950001,90.21766817786565
TWTR,Wed Mar 02 00:00:00 CET 2016,52.950001,66.78365834146341
GOOG,Tue Mar 01 00:00:00 CET 2016,52.580002,340.578878297011
AAPL,Tue Mar 01 00:00:00 CET 2016,52.580002,340.578878297011
AMZN,Tue Mar 01 00:00:00 CET 2016,52.580002,244.61308141383785
FB,Tue Mar 01 00:00:00 CET 2016,52.580002,291.09636089823863
MSFT,Tue Mar 01 00:00:00 CET 2016,52.580002,90.0694883897638
TWTR,Tue Mar 01 00:00:00 CET 2016,52.580002,66.44547604761904
GOOG,Mon Feb 29 00:00:00 CET 2016,50.880001,340.29978496628166
AAPL,Mon Feb 29 00:00:00 CET 2016,50.880001,340.29978496628166
AMZN,Mon Feb 29 00:00:00 CET 2016,50.880001,244.36049591134264
FB,Mon Feb 29 00:00:00 CET 2016,50.880001,290.6271883203124
MSFT,Mon Feb 29 00:00:00 CET 2016,50.880001,89.91580412549023
TWTR,Mon Feb 29 00:00:00 CET 2016,50.880001,66.08348825581395
GOOG,Fri Feb 26 00:00:00 CET 2016,51.299999,340.02163310298397
AAPL,Fri Feb 26 00:00:00 CET 2016,51.299999,340.02163310298397
AMZN,Fri Feb 26 00:00:00 CET 2016,51.299999,244.10911505598935
FB,Fri Feb 26 00:00:00 CET 2016,51.299999,290.16066358479526
MSFT,Fri Feb 26 00:00:00 CET 2016,51.299999,89.76496113671878
TWTR,Fri Feb 26 00:00:00 CET 2016,51.299999,65.74749986363635
GOOG,Thu Feb 25 00:00:00 CET 2016,52.099998,339.74478537692346
AAPL,Thu Feb 25 00:00:00 CET 2016,52.099998,339.74478537692346
AMZN,Thu Feb 25 00:00:00 CET 2016,52.099998,243.8594282977891
FB,Thu Feb 25 00:00:00 CET 2016,52.099998,289.6975105389104
MSFT,Thu Feb 25 00:00:00 CET 2016,52.099998,89.61840485992222
TWTR,Thu Feb 25 00:00:00 CET 2016,52.099998,65.44422204444444
GOOG,Wed Feb 24 00:00:00 CET 2016,51.360001,339.46775868683994
AAPL,Wed Feb 24 00:00:00 CET 2016,51.360001,339.46775868683994
AMZN,Wed Feb 24 00:00:00 CET 2016,51.360001,243.60942904155817
