GOOG,date,closing,avg
GOOG,Mon Jun 01 00:00:00 CEST 2015,533.98999,571.8917755791497
GOOG,Tue Feb 02 00:00:00 CET 2016,94.480003,570.0555764538453
GOOG,Fri May 29 00:00:00 CEST 2015,532.109985,569.9101910459761
GOOG,Mon Feb 01 00:00:00 CET 2016,96.43,568.1030147442739
GOOG,Thu May 28 00:00:00 CEST 2015,539.780029,567.995322783269
GOOG,Fri Jan 29 00:00:00 CET 2016,97.339996,566.2125374545445
GOOG,Wed May 27 00:00:00 CEST 2015,539.789978,566.1128296830178
GOOG,Thu Jan 28 00:00:00 CET 2016,94.089996,564.3383077518787
GOOG,Tue May 26 00:00:00 CEST 2015,532.320007,564.2183890224709
GOOG,Wed Jan 27 00:00:00 CET 2016,93.419998,562.4616786082079
GOOG,Fri May 22 00:00:00 CEST 2015,540.109985,562.3785868104079
GOOG,Tue Jan 26 00:00:00 CET 2016,99.989998,560.6660364814804
GOOG,Thu May 21 00:00:00 CEST 2015,542.51001,560.5990400737996
GOOG,Mon Jan 25 00:00:00 CET 2016,99.440002,558.9036024338225
GOOG,Wed May 20 00:00:00 CEST 2015,539.27002,558.8316845494495
GOOG,Fri Jan 22 00:00:00 CET 2016,101.419998,557.1622988321157
GOOG,Tue May 19 00:00:00 CEST 2015,537.359985,557.0902904181806
GOOG,Thu Jan 21 00:00:00 CET 2016,96.300003,555.4207603913032
GOOG,Mon May 18 00:00:00 CEST 2015,532.299988,555.337291898916
GOOG,Wed Jan 20 00:00:00 CET 2016,96.790001,553.6878412122292
GOOG,Fri May 15 00:00:00 CEST 2015,533.849976,553.6167377526871
GOOG,Tue Jan 19 00:00:00 CET 2016,96.660004,551.984749417856
GOOG,Thu May 14 00:00:00 CEST 2015,538.400024,551.9364051992872
GOOG,Fri Jan 15 00:00:00 CET 2016,97.129997,550.3236165177295
GOOG,Wed May 13 00:00:00 CEST 2015,529.619995,550.2504588445219
GOOG,Thu Jan 14 00:00:00 CET 2016,99.519997,548.6633797535201
GOOG,Tue May 12 00:00:00 CEST 2015,529.039978,548.5945257122796
GOOG,Wed Jan 13 00:00:00 CET 2016,97.389999,547.0168875069919
GOOG,Mon May 11 00:00:00 CEST 2015,535.700012,546.9774558850163
GOOG,Tue Jan 12 00:00:00 CET 2016,99.959999,545.4253119374989
GOOG,Fri May 08 00:00:00 CEST 2015,538.219971,545.4003799619367
GOOG,Mon Jan 11 00:00:00 CET 2016,98.529999,543.8594476137921
GOOG,Wed Apr 06 00:00:00 CEST 2016,602.080017,544.059518298968
GOOG,Thu May 07 00:00:00 CEST 2015,530.700012,544.0137665650674
GOOG,Fri Jan 08 00:00:00 CET 2016,96.959999,542.4879857883949
GOOG,Tue Apr 05 00:00:00 CEST 2016,586.140015,542.6364620782302
GOOG,Wed May 06 00:00:00 CEST 2015,524.219971,542.5740332949143
GOOG,Thu Jan 07 00:00:00 CET 2016,96.449997,541.0668574966206
GOOG,Mon Apr 04 00:00:00 CEST 2016,593.190002,541.2423562996622
GOOG,Tue May 05 00:00:00 CEST 2015,530.799988,541.207314795301
GOOG,Wed Jan 06 00:00:00 CET 2016,100.699997,539.734046173912
GOOG,Fri Apr 01 00:00:00 CEST 2016,598.5,539.9299326866657
GOOG,Mon May 04 00:00:00 CEST 2015,540.780029,539.9327569269093
GOOG,Tue Jan 05 00:00:00 CET 2016,102.709999,538.4849994503302
GOOG,Thu Mar 31 00:00:00 CEST 2016,593.640015,538.6670292046196
