AAPL,date,closing,avg
AAPL,Fri Nov 20 00:00:00 CET 2015,756.599976,728.8382621630435
GOOG,Thu Nov 19 00:00:00 CET 2015,738.409973,728.9411837849462
AAPL,Thu Nov 19 00:00:00 CET 2015,738.409973,728.9411837849462
GOOG,Wed Nov 18 00:00:00 CET 2015,740.0,729.0588307659575
AAPL,Wed Nov 18 00:00:00 CET 2015,740.0,729.0588307659575
GOOG,Tue Nov 17 00:00:00 CET 2015,725.299988,729.019264
AAPL,Tue Nov 17 00:00:00 CET 2015,725.299988,729.019264
GOOG,Mon Nov 16 00:00:00 CET 2015,728.960022,729.0186468958333
AAPL,Mon Nov 16 00:00:00 CET 2015,728.960022,729.0186468958333
GOOG,Fri Nov 13 00:00:00 CET 2015,717.0,728.8947433195876
AAPL,Fri Nov 13 00:00:00 CET 2015,717.0,728.8947433195876
GOOG,Thu Nov 12 00:00:00 CET 2015,731.22998,728.9185722653061
AAPL,Thu Nov 12 00:00:00 CET 2015,731.22998,728.9185722653061
GOOG,Wed Nov 11 00:00:00 CET 2015,735.400024,728.9840414747475
AAPL,Wed Nov 11 00:00:00 CET 2015,735.400024,728.9840414747475
GOOG,Tue Nov 10 00:00:00 CET 2015,728.320007,728.9774011300001
AAPL,Tue Nov 10 00:00:00 CET 2015,728.320007,728.9774011300001
GOOG,Mon Nov 09 00:00:00 CET 2015,724.890015,728.9369319603961
AAPL,Mon Nov 09 00:00:00 CET 2015,724.890015,728.9369319603961
GOOG,Fri Nov 06 00:00:00 CET 2015,733.76001,728.9842170392158
AAPL,Fri Nov 06 00:00:00 CET 2015,733.76001,728.9842170392158
GOOG,Thu Nov 05 00:00:00 CET 2015,731.25,729.0062149320389
AAPL,Thu Nov 05 00:00:00 CET 2015,731.25,729.0062149320389
GOOG,Wed Nov 04 00:00:00 CET 2015,728.109985,728.9975973365385
AAPL,Wed Nov 04 00:00:00 CET 2015,728.109985,728.9975973365385
GOOG,Tue Nov 03 00:00:00 CET 2015,722.159973,728.9324771047619
AAPL,Tue Nov 03 00:00:00 CET 2015,722.159973,728.9324771047619
GOOG,Mon Nov 02 00:00:00 CET 2015,721.109985,728.858680009434
AAPL,Mon Nov 02 00:00:00 CET 2015,721.109985,728.858680009434
GOOG,Fri Oct 30 00:00:00 CET 2015,710.809998,728.6900007383178
AAPL,Fri Oct 30 00:00:00 CET 2015,710.809998,728.6900007383178
GOOG,Thu Oct 29 00:00:00 CET 2015,716.919983,728.5810190925927
AAPL,Thu Oct 29 00:00:00 CET 2015,716.919983,728.5810190925927
GOOG,Wed Oct 28 00:00:00 CET 2015,712.950012,728.4376153577982
AAPL,Wed Oct 28 00:00:00 CET 2015,712.950012,728.4376153577982
GOOG,Tue Oct 27 00:00:00 CET 2015,708.48999,728.256273309091
AAPL,Tue Oct 27 00:00:00 CET 2015,708.48999,728.256273309091
GOOG,Mon Oct 26 00:00:00 CET 2015,712.780029,728.1168476846848
AAPL,Mon Oct 26 00:00:00 CET 2015,712.780029,728.1168476846848
GOOG,Fri Oct 23 00:00:00 CEST 2015,702.0,727.8836615446429
AAPL,Fri Oct 23 00:00:00 CEST 2015,702.0,727.8836615446429
GOOG,Thu Oct 22 00:00:00 CEST 2015,651.789978,727.2102661150443
AAPL,Thu Oct 22 00:00:00 CEST 2015,651.789978,727.2102661150443
GOOG,Wed Oct 21 00:00:00 CEST 2015,642.609985,726.468158385965
AAPL,Wed Oct 21 00:00:00 CEST 2015,642.609985,726.468158385965
GOOG,Tue Oct 20 00:00:00 CEST 2015,650.280029,725.8056529130436
AAPL,Tue Oct 20 00:00:00 CEST 2015,650.280029,725.8056529130436
GOOG,Mon Oct 19 00:00:00 CEST 2015,666.099976,725.2909488017242
AAPL,Mon Oct 19 00:00:00 CEST 2015,666.099976,725.2909488017242
GOOG,Fri Oct 16 00:00:00 CEST 2015,662.200012,724.7517100256412
AAPL,Fri Oct 16 00:00:00 CEST 2015,662.200012,724.7517100256412
GOOG,Thu Oct 15 00:00:00 CEST 2015,661.73999,724.2177123983053
AAPL,Thu Oct 15 00:00:00 CEST 2015,661.73999,724.2177123983053
GOOG,Wed Oct 14 00:00:00 CEST 2015,651.159973,723.6037818151262
AAPL,Wed Oct 14 00:00:00 CEST 2015,651.159973,723.6037818151262
GOOG,Tue Oct 13 00:00:00 CEST 2015,652.299988,723.0095835333335
AAPL,Tue Oct 13 00:00:00 CEST 2015,652.299988,723.0095835333335
GOOG,Mon Oct 12 00:00:00 CEST 2015,646.669983,722.3786777438017
AAPL,Mon Oct 12 00:00:00 CEST 2015,646.669983,722.3786777438017
GOOG,Fri Oct 09 00:00:00 CEST 2015,643.609985,721.7330327213116
